PrescriptionStatus,ImageUrl,Name,Manufacturer,ActiveSubstance,Price,OldPrice,DrugUrl
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/emD-tZUBybk0vr4zIfiO-300x300,Лантус СолоСтар Раствор для подкожного введения 100 ЕД/мл картриджи в Шприц-ручках 3 мл 5 шт,Санофи,Инсулин гларгин,3678,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/lantus-solo-star-rr-d-in-p-k-vved-100me-ml-3ml-kartridzh-n5-shpricruchka-43829/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/yEh5tZUB4hniyrJCeEUW-300x300,Левемир Флекспен Раствор для подкожного введения 100 ед/мл 3 мл 5 шт,Ново Нордиск,Инсулин детемир,3041,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/levemir-flekspen-rr-d-podk-vvedenija-100ed-ml-3ml-n5-29296/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/lbGxtZUBrbRC1cy59Sk2-300x300,Глюкофаж Лонг 500 мг Таблетки пролонгированного действия 60 шт,Нанолек,Метформин,387,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/gljukofazh-long-tabl-p-o-500mg-n60-36687/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/GH6VtpUBrbRC1cy5LDUu-242x300,Тражента Таблетки покрытые пленочной оболочкой 5 мг 30 шт,Берингер,Линаглиптин,1924.2,2138,https://gorzdrav.org/category/sredstva-ot-diabeta/p/trazhenta-tabl-p-pl-ob-5mg-n30-40084/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/ijCutZUBybk0vr4zurIL-300x300,Тиоктацид Таблетки покрытые пленочной оболочкой 600 мг 30 шт,Меда Фарма,Тиоктовая кислота,1968,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/tioktacid-tabl-p-pl-ob-600mg-n30-36297/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/9lVDtpUBybk0vr4zfIH6-300x300,Джардинс Таблетки покрытые пленочной оболочкой 10 мг 30 шт,Берингер,Эмпаглифлозин,3130.2,3478,https://gorzdrav.org/category/sredstva-ot-diabeta/p/dzhardins-tabl-p-o-10mg-n30-61274/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/UV4atpUBrbRC1cy5ENYn-300x300,Випидия Таблетки покрытые пленочной оболочкой 25 мг 28 шт,Hemofarm,Алоглиптин,1569,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/vipidija-tabl-p-o-25mg-n28-52635/
,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/jCtJfZgBHhsKBsZej5On-300x300,Дибикор Таблетки 500 мг 60 шт,ПИК-Фарма,Таурин,650,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/dibikor-tabl-500mg-n60-51605/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/RUMCupUBarzHQIad1rNm-177x300,Тресиба Раствор для подкожного введения 100 ЕД/мл картридж в Шприц-ручке флекспен 3 мл картридж + Шприц-ручка 5 шт,Ново Нордиск,Инсулин деглудек,4858,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/tresiba-100ed-ml-3ml-n5-kartridzh-v-shpricruchke-flekspen-rr-p-k-341895/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/HcSsuZUB7vQMbYfxRKxi-300x214,Метформин-Озон Таблетки 1000 мг 60 шт,Озон,Метформин,191,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/metforminozon-tabl-1000mg-n60-331808/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/SZ0vtZUBrbRC1cy5HCdd-300x275,Тиогамма Таблетки покрытые пленочной оболочкой 600 мг 30 шт,Вёрваг,Тиоктовая кислота,1022,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/tiogamma-tabl-p-o-600mg-n30-10189/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/5it1U5oBy6WW8PWFhtIE-300x300,Тиогамма раствор для инфузий 12 мг/мл 50 мл 10 шт,Solupharm,Тиоктовая кислота,2110,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/tiogamma-rr-d-inf-12mg-ml-50ml-fl-10-23676/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/g46LupUBarzHQIadB-Rs-300x274,Энлигрия Раствор для подкожного введения 6 мг/мл шприц-ручка 3 мл 3 шт,Промомед,Лираглутид,17500,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/enligrija-6mg-ml-3ml-n3-shpricruchka-rr-p-k-642226/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/qJU-uJUBybk0vr4zH8xv-300x260,Сиофор таблетки 500 мг 60 шт,Berlin-Chemie,Метформин,132,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/siofor-tab-p-o-500mg-60-9385/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/BufitZUBybk0vr4zTxv--300x300,Октолипен Таблетки 600 мг 30 шт,Фармстандарт,Тиоктовая кислота,823,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/oktolipen-tabl-p-pl-ob-600mg-n30-41375/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/QhgUu5UB5yfJBvc3kjMi-300x300,Вилдаглиптин-СЗ Таблетки 50 мг 30 шт,Северная Звезда,Вилдаглиптин,469,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/vildagliptin-tabl-50mg-n30-651454/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/cwaPuJUBybk0vr4z4QbP-300x300,Сиофор Таблетки 850 мг 60 шт,Berlin-Chemie,Метформин,182,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/siofor-tab-p-o-850mg-60-9386/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/RKvguJUBybk0vr4z0Xlb-300x177,Суглат Таблетки покрытые пленочной оболочкой 50 мг 30 шт,Астеллас,Ипраглифлозин,2576,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/suglat-tabl-p-pl-ob-50mg-30-206005/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/U2wRoZcBH0J-GJRPTHiK-300x300,Сигдуо Лонг® Таблетки с модифицированным высвобождением покрытые пленочной оболочкой 5 мг+1000 мг 60 шт,AstraZeneca,Дапаглифлозин+Метформин,3360,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/sigduo-long-tabl-p-o-s-modif-vysvob-5mg-1000mg-60-204111/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/8mM8tZUB4hniyrJCJRfU-300x300,Актрапид HM Раствор для инъекций 100 ме/мл 10 мл,Ново Нордиск,Инсулин растворимый [человеческий генно-инженерный],478,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/aktrapid-nm-rr-d-in-100me-ml-flak-10ml-12800/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/PMYe-pcBH0J-GJRP8nwc-300x300,Глюкофаж Лонг Таблетки с пролонгированным высвобождением 1000 мг 120 шт,МЕРК,Метформин,1426,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/gljukofazh-long-tabl-p-o-1000mg-n120-666603/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/1yt8b5sBOkTyP3bfdq-Q-300x300,Набор из двух упаковок Галвус Мет Таблетки 50 мг + 850 мг 30 шт,,,3198,3998,https://gorzdrav.org/category/sredstva-ot-diabeta/p/bundle_galvus-met-tab-p-pl-ob-50mg-850mg-30-32803-2/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/p2ttuJUBybk0vr4zNQrh-300x300,Галвус Мет Таблетки 50 мг + 850 мг 30 шт,Новартис Фарма,Вилдаглиптин+Метформин,1999,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/galvus-met-tab-p-pl-ob-50mg-850mg-30-32803/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/K_URoZcB2BGN4fsdPg0s-300x300,Сигдуо Лонг® Таблетки с модифицированным высвобождением покрытые пленочной оболочкой 10 мг+1000 мг 30 шт,AstraZeneca,Дапаглифлозин+Метформин,3357,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/sigduo-long-tabl-p-o-s-modif-vysvob-10mg-1000mg-30-204112/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/Nsv9tZUBybk0vr4zV7U2-300x300,"Минирин Таблетки 0,2 мг 30 шт",Ферринг,Десмопрессин,1782,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/minirin-tabl-0-2mg-n30-43765/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/8xtXupUBu1bHOSl1rvP1-300x300,"Синджарди Таблетки покрытые пленочной оболочкой 1000 мг + 12,5 мг 60 шт",Берингер,Метформин+Эмпаглифлозин,5197,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/sindzhardi-tab-p-p-o-1000mg-12-5mg-60-593359/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/T6QmupUBRjkwyzW3Azf6-300x300,Асиглия Таблетки 100 мг 28 шт,КРКА,Ситаглиптин,639,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/asiglija-0-1-n28-tabl-p-plen-oboloch-626012/
